"cityabbr","province","distance_to_harbor","nearest_port","lndis_to_harbor","distance_to_bharbor","nearest_bport","lndis_to_bharbor"
"渭南","陕西省","820.413054870014","天津市",13.61756443676206,820413.0548700143,"天津市",13.61756443676206
"西安","陕西省","950.522118269243","连云港市",13.764767762833928,955263.2780175413,"天津市",13.769743312088352
"铜川","陕西省","847.627873703605","天津市",13.650198170043366,847627.8737036051,"天津市",13.650198170043366
"果洛","青海省","1695.95817487759","天津市",14.343759023627747,1695958.1748775868,"天津市",14.343759023627747
"海东","青海省","1356.05571519439","天津市",14.120091571972415,1356055.7151943874,"天津市",14.120091571972415
"海北","青海省","1490.04948555598","天津市",14.214320560271103,1490049.4855559776,"天津市",14.214320560271103
"海南","青海省","1546.77225879408","天津市",14.251681550483399,1546772.2587940826,"天津市",14.251681550483399
"海西","青海省","1945.45137477622","天津市",14.481005091423855,1945451.3747762223,"天津市",14.481005091423855
"玉树","青海省","2167.65636223292","湛江市",14.589157585801026,2175342.030285217,"天津市",14.592696925142869
"西宁","青海省","1415.80113501976","天津市",14.163206808316401,1415801.1350197624,"天津市",14.163206808316401
"黄南","青海省","1468.3470358571","天津市",14.199648541703711,1468347.0358570996,"天津市",14.199648541703711
"七台河","黑龙江省","906.687598467126","营口市",13.71755433879731,993018.1487856726,"大连市",13.808505226613457
"伊春","黑龙江省","966.007850069897","营口市",13.780928274715729,1069364.1249239487,"大连市",13.882575689148972
"佳木斯","黑龙江省","1078.97808255603","营口市",13.891525858098731,1169118.7018638202,"大连市",13.971761632015962
"双鸭山","黑龙江省","1058.34232269679","营口市",13.872215340364892,1143643.2298591412,"大连市",13.949730414669753
"哈尔滨","黑龙江省","720.248828066135","营口市",13.487353414232597,818570.2959568796,"大连市",13.615315777628293
"大兴安岭","黑龙江省","1304.48416801028","营口市",14.081319013628649,1413815.8105264807,"秦皇岛市",14.161803562962689
"大庆","黑龙江省","659.550177103558","营口市",13.39931484798256,774723.5120806855,"大连市",13.560262776858671
"牡丹江","黑龙江省","761.457857653261","营口市",13.5429914218253,841100.5610229325,"大连市",13.642467693879055
"绥化","黑龙江省","774.752658952109","营口市",13.560300398390838,884520.6532358212,"大连市",13.6928022730464
"鸡西","黑龙江省","978.018839613682","营口市",13.793285234714759,1055829.7000866071,"大连市",13.869838408507734
"鹤岗","黑龙江省","1031.78341940343","营口市",13.84680030727494,1128809.9085586027,"大连市",13.93667534332823
"黑河","黑龙江省","1024.45310747063","营口市",13.839670450607136,1137746.3024932377,"大连市",13.94456081496264
"齐齐哈尔","黑龙江省","801.894414874545","营口市",13.594733472951793,918685.577582054,"大连市",13.730700295923214
"营口","辽宁省","0","营口市",0,118634.4177449946,"大连市",11.683810352878078
